,base_market,quote_market,hedge_ratio,half_life
0,XTZ-USD,ZEC-USD,0.027350967181958022,5.0
1,XTZ-USD,MKR-USD,0.0014725426478764802,6.0
2,XTZ-USD,CELO-USD,1.6483662749306136,12.0
3,XTZ-USD,ENJ-USD,2.5940313532722445,4.0
4,XTZ-USD,ZRX-USD,3.8861420722382043,5.0
5,XTZ-USD,YFI-USD,0.00012471985222357713,11.0
6,XTZ-USD,SUSHI-USD,0.9716842239932999,4.0
7,XTZ-USD,CRV-USD,1.080553374242534,11.0
8,XTZ-USD,AAVE-USD,0.01423220503131643,13.0
9,XTZ-USD,MATIC-USD,0.9972388611220124,14.0
10,XTZ-USD,1INCH-USD,2.0609062458972414,6.0
11,XTZ-USD,ETH-USD,0.0005465210355406161,10.0
12,ETC-USD,ZEC-USD,0.5287643983001784,12.0
13,ETC-USD,MKR-USD,0.02846504688875788,23.0
14,ETC-USD,YFI-USD,0.002411659012069029,5.0
15,ETC-USD,XLM-USD,209.20164866009583,5.0
16,ETC-USD,UMA-USD,10.36407500254779,5.0
17,ETC-USD,CRV-USD,20.890729440172457,16.0
18,ETC-USD,AAVE-USD,0.2751489269759154,18.0
19,ETC-USD,ETH-USD,0.01056490040560672,20.0
20,ZEC-USD,MKR-USD,0.05383322336477178,9.0
21,ZEC-USD,CELO-USD,60.26179742166555,11.0
22,ZEC-USD,FIL-USD,6.868172946127146,10.0
23,ZEC-USD,ZRX-USD,142.06722624839261,9.0
24,ZEC-USD,YFI-USD,0.004559534659110416,11.0
25,ZEC-USD,COMP-USD,0.9307252836189572,5.0
26,ZEC-USD,XLM-USD,395.56268643085974,6.0
27,ZEC-USD,EOS-USD,34.73733766290296,23.0
28,ZEC-USD,CRV-USD,39.50489441660376,10.0
29,ZEC-USD,AAVE-USD,0.5203295945704716,9.0
30,LINK-USD,DOGE-USD,89.10515798942967,9.0
31,MKR-USD,CELO-USD,1119.19433726827,14.0
32,MKR-USD,ENJ-USD,1761.4007564300623,5.0
33,MKR-USD,FIL-USD,127.55338526136595,14.0
34,MKR-USD,ZRX-USD,2638.754482894985,6.0
35,MKR-USD,YFI-USD,0.08467692204728852,16.0
36,MKR-USD,COMP-USD,17.28643831609631,6.0
37,MKR-USD,XLM-USD,7346.184547082461,11.0
38,MKR-USD,SUSHI-USD,659.7648891164179,8.0
39,MKR-USD,UMA-USD,363.9571304598712,9.0
40,MKR-USD,AAVE-USD,9.663059621948557,15.0
41,MKR-USD,1INCH-USD,1399.2934180778338,11.0
42,MKR-USD,ETH-USD,0.37112439312291945,7.0
43,ATOM-USD,COMP-USD,0.27638427195641035,12.0
44,BCH-USD,ZRX-USD,453.3789771761778,14.0
45,BCH-USD,UMA-USD,62.54957033038735,4.0
46,BCH-USD,1INCH-USD,240.45207868984014,16.0
47,CELO-USD,ENJ-USD,1.5732900314815543,14.0
48,CELO-USD,FIL-USD,0.11396645555414865,4.0
49,CELO-USD,ZRX-USD,2.3570968397098238,10.0
50,CELO-USD,YFI-USD,7.563502798665027e-05,22.0
51,CELO-USD,ALGO-USD,3.2062958116609304,23.0
52,CELO-USD,SUSHI-USD,0.5893346800648172,15.0
53,CELO-USD,CRV-USD,0.6554517442487471,10.0
54,CELO-USD,MATIC-USD,0.6049436618590699,7.0
55,CELO-USD,1INCH-USD,1.2501080164394796,5.0
56,CELO-USD,ETH-USD,0.000331438443211474,24.0
57,ENJ-USD,FIL-USD,0.07241359073966773,13.0
58,ENJ-USD,ZRX-USD,1.4979932194082752,6.0
59,ENJ-USD,COMP-USD,0.009813669834919683,4.0
60,ENJ-USD,XLM-USD,4.170559908879967,9.0
61,ENJ-USD,SUSHI-USD,0.3745638215246233,4.0
62,ENJ-USD,LTC-USD,0.004476405898838501,9.0
63,ENJ-USD,AAVE-USD,0.005485855405075939,16.0
64,ENJ-USD,MATIC-USD,0.38438805749698746,15.0
65,ENJ-USD,ETH-USD,0.0002106754431441157,8.0
66,RUNE-USD,NEAR-USD,0.7222501363260205,10.0
67,RUNE-USD,MATIC-USD,1.4022198192151354,19.0
68,FIL-USD,ZRX-USD,20.680087882573606,11.0
69,FIL-USD,NEAR-USD,2.7332479278377386,12.0
70,FIL-USD,SUSHI-USD,5.170763305633873,13.0
71,FIL-USD,UMA-USD,2.852348042677191,11.0
72,FIL-USD,AAVE-USD,0.07575241710043676,3.0
73,FIL-USD,ETH-USD,0.0029079777741352177,20.0
74,ZRX-USD,YFI-USD,3.2085359498991985e-05,15.0
